CYCLE: 5 | CPU_LOAD: 1.77 | FIDELITY: 0.887952 | CHAIN_HASH: 5afcde786280824d
CYCLE: 10 | CPU_LOAD: 3.80 | FIDELITY: 0.886508 | CHAIN_HASH: cd6b96cee555c1f8
CYCLE: 15 | CPU_LOAD: 3.48 | FIDELITY: 0.885511 | CHAIN_HASH: 042c8639afbb35c7
CYCLE: 20 | CPU_LOAD: 3.54 | FIDELITY: 0.886657 | CHAIN_HASH: 04ef7cd0d0bcd9df
CYCLE: 25 | CPU_LOAD: 3.20 | FIDELITY: 0.886145 | CHAIN_HASH: 41b23592a67fcd22
CYCLE: 30 | CPU_LOAD: 2.92 | FIDELITY: 0.885767 | CHAIN_HASH: 154b96d751ad3a01
CYCLE: 35 | CPU_LOAD: 3.12 | FIDELITY: 0.887203 | CHAIN_HASH: 32c558a94aae2648
CYCLE: 40 | CPU_LOAD: 2.64 | FIDELITY: 0.885713 | CHAIN_HASH: 48a3c0f9f2504cac
CYCLE: 45 | CPU_LOAD: 2.72 | FIDELITY: 0.886220 | CHAIN_HASH: 84bfffa21e1113ee
CYCLE: 50 | CPU_LOAD: 2.78 | FIDELITY: 0.885296 | CHAIN_HASH: 8cff6153f7f7ee45
CYCLE: 55 | CPU_LOAD: 2.71 | FIDELITY: 0.885484 | CHAIN_HASH: 73a1ca38daf7b1ca
CYCLE: 60 | CPU_LOAD: 2.33 | FIDELITY: 0.887742 | CHAIN_HASH: 752a7890aeb5be6e
CYCLE: 65 | CPU_LOAD: 2.25 | FIDELITY: 0.885621 | CHAIN_HASH: 074d1d8df8123dde
CYCLE: 70 | CPU_LOAD: 2.29 | FIDELITY: 0.888221 | CHAIN_HASH: 10a3a2ebfee746da
CYCLE: 75 | CPU_LOAD: 2.23 | FIDELITY: 0.886869 | CHAIN_HASH: d4076c6c3404d541
CYCLE: 80 | CPU_LOAD: 3.72 | FIDELITY: 0.886290 | CHAIN_HASH: 9eff1ec80cc242bc
CYCLE: 5 | MACRO: 1.000000 | FIDELITY: 0.887952
CYCLE: 10 | MACRO: 1.000000 | FIDELITY: 0.886508
CYCLE: 15 | MACRO: 1.000000 | FIDELITY: 0.885511
CYCLE: 20 | MACRO: 1.000000 | FIDELITY: 0.886657
CYCLE: 25 | MACRO: 1.000000 | FIDELITY: 0.886145
CYCLE: 30 | MACRO: 1.000000 | FIDELITY: 0.885767
CYCLE: 35 | MACRO: 1.000000 | FIDELITY: 0.887203
CYCLE: 40 | MACRO: 1.000000 | FIDELITY: 0.885713
CYCLE: 45 | MACRO: 1.000000 | FIDELITY: 0.886220
CYCLE: 50 | MACRO: 1.000000 | FIDELITY: 0.885296
CYCLE: 55 | MACRO: 1.000000 | FIDELITY: 0.885484
CYCLE: 60 | MACRO: 1.000000 | FIDELITY: 0.887742
CYCLE: 5 | MACRO: 1.000000 | FIDELITY: 0.887952
CYCLE: 10 | MACRO: 1.000000 | FIDELITY: 0.886508
CYCLE: 15 | MACRO: 1.000000 | FIDELITY: 0.885511
CYCLE: 20 | MACRO: 1.000000 | FIDELITY: 0.886657
CYCLE: 25 | MACRO: 1.000000 | FIDELITY: 0.886145
CYCLE: 30 | MACRO: 1.000000 | FIDELITY: 0.885767
CYCLE: 35 | MACRO: 1.000000 | FIDELITY: 0.887203
